"","UNITID","EFFYLEV","LSTUDY","XEYTOTLT","EFYTOTLT","XEYTOTLM","EFYTOTLM","XEYTOTLW","EFYTOTLW","XEFYAIAT","EFYAIANT","XEFYAIAM","EFYAIANM","XEFYAIAW","EFYAIANW","XEFYASIT","EFYASIAT","XEFYASIM","EFYASIAM","XEFYASIW","EFYASIAW","XEFYBKAT","EFYBKAAT","XEFYBKAM","EFYBKAAM","XEFYBKAW","EFYBKAAW","XEFYHIST","EFYHISPT","XEFYHISM","EFYHISPM","XEFYHISW","EFYHISPW","XEFYNHPT","EFYNHPIT","XEFYNHPM","EFYNHPIM","XEFYNHPW","EFYNHPIW","XEFYWHIT","EFYWHITT","XEFYWHIM","EFYWHITM","XEFYWHIW","EFYWHITW","XEFY2MOT","EFY2MORT","XEFY2MOM","EFY2MORM","XEFY2MOW","EFY2MORW","XEYUNKNT","EFYUNKNT","XEYUNKNM","EFYUNKNM","XEYUNKNW","EFYUNKNW","XEYNRALT","EFYNRALT","XEYNRALM","EFYNRALM","XEYNRALW","EFYNRALW"
"4436",170967,1,999,"R",1281,"R",496,"R",785,"R",9,"R",4,"R",5,"R",26,"R",6,"R",20,"R",200,"R",62,"R",138,"R",32,"R",10,"R",22,"Z",0,"Z",0,"Z",0,"R",658,"R",286,"R",372,"R",8,"R",3,"R",5,"R",336,"R",119,"R",217,"R",12,"R",6,"R",6
"4437",170967,2,1,"R",1261,"R",479,"R",782,"R",9,"R",4,"R",5,"R",26,"R",6,"R",20,"R",195,"R",57,"R",138,"R",32,"R",10,"R",22,"Z",0,"Z",0,"Z",0,"R",653,"R",281,"R",372,"R",7,"R",3,"R",4,"R",327,"R",112,"R",215,"R",12,"R",6,"R",6
"4438",170967,4,3,"R",20,"R",17,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"R",1,"Z",0,"R",1,"R",9,"R",7,"R",2,"Z",0,"Z",0,"Z",0
"4439",170976,1,999,"R",44514,"R",23393,"R",21121,"R",77,"R",42,"R",35,"R",4911,"R",2606,"R",2305,"R",1889,"R",763,"R",1126,"R",1828,"R",872,"R",956,"R",16,"R",8,"R",8,"R",26701,"R",13643,"R",13058,"R",1298,"R",618,"R",680,"R",1936,"R",1079,"R",857,"R",5858,"R",3762,"R",2096
"4440",170976,2,1,"R",28243,"R",14447,"R",13796,"R",45,"R",27,"R",18,"R",3314,"R",1802,"R",1512,"R",1302,"R",541,"R",761,"R",1176,"R",551,"R",625,"R",11,"R",6,"R",5,"R",18450,"R",9367,"R",9083,"R",940,"R",453,"R",487,"R",1249,"R",658,"R",591,"R",1756,"R",1042,"R",714
"4441",170976,4,3,"R",16271,"R",8946,"R",7325,"R",32,"R",15,"R",17,"R",1597,"R",804,"R",793,"R",587,"R",222,"R",365,"R",652,"R",321,"R",331,"R",5,"R",2,"R",3,"R",8251,"R",4276,"R",3975,"R",358,"R",165,"R",193,"R",687,"R",421,"R",266,"R",4102,"R",2720,"R",1382
"4442",171012,1,999,"R",285,"R",248,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",269,"R",232,"R",37,"R",6,"R",6,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",3,"R",3,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0
"4443",171012,2,1,"R",285,"R",248,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",269,"R",232,"R",37,"R",6,"R",6,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",3,"R",3,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0
"4444",171100,1,999,"R",53371,"R",25457,"R",27914,"R",203,"R",77,"R",126,"R",2322,"R",1191,"R",1131,"R",3607,"R",1335,"R",2272,"R",1798,"R",808,"R",990,"R",31,"R",15,"R",16,"R",37108,"R",17591,"R",19517,"R",918,"R",360,"R",558,"R",1026,"R",526,"R",500,"R",6358,"R",3554,"R",2804
"4445",171100,2,1,"R",40015,"R",19678,"R",20337,"R",145,"R",53,"R",92,"R",1716,"R",926,"R",790,"R",2974,"R",1120,"R",1854,"R",1375,"R",636,"R",739,"R",25,"R",13,"R",12,"R",28637,"R",14104,"R",14533,"R",744,"R",287,"R",457,"R",598,"R",317,"R",281,"R",3801,"R",2222,"R",1579
